iata,city,secondary
PVC,Provincetown,MA - United States
SCC,Prudhoe Bay/Deadhorse,AK - United States
PUB,Pueblo,CO - United States
PUW,Pullman,WA - United States
UIN,Quincy,IL - United States
KWN,Quinhagak,AK - United States
RDU,Raleigh/Durham,NC - United States
RMP,Rampart,AK - United States
RAP,Rapid City,SD - United States
RDG,Reading,PA - United States
RDV,Red Devil,AK - United States
RDD,Redding,CA - United States
RDM,Redmond,OR - United States
RNO,Reno,NV - United States
RHI,Rhinelander,WI - United States
RIC,Richmond,VA - United States
RIW,Riverton,WY - United States
ROA,Roanoke,VA - United States
RCE,Roche Harbor,WA - United States
RST,Rochester,MN - United States
ROC,Rochester,NY - United States
RKS,Rock Springs,WY - United States
ZRF,Rockford,IL - United States
ZRK,Rockford,IL - United States
RKD,Rockland,ME - United States
RSJ,Rosario,WA - United States
ROW,Roswell,NM - United States
RBY,Ruby,AK - United States
RSH,Russian Mission,AK - United States
RUT,Rutland,VT - United States
SMF,Sacramento,CA - United States
MBS,Saginaw,MI - United States
STC,Saint Cloud,MN - United States
STG,Saint George Island,AK - United States
SGU,Saint George,UT - United States
STL,Saint Louis,MO - United States
KSM,Saint Mary's,AK - United States
SMK,Saint Michael,AK - United States
SNP,Saint Paul Island,AK - United States
SLE,Salem,OR - United States
SLN,Salina,KS - United States
SBY,Salisbury-Ocean City,MD - United States
SLC,Salt Lake City,UT - United States
SJT,San Angelo,TX - United States
SAT,San Antonio,TX - United States
SAN,San Diego,CA - United States
SFO,San Francisco,CA - United States
SJC,San Jose,CA - United States
SJU,San Juan,Pu - United States
SBP,San Luis Obispo,CA - United States
SDP,Sand Point,AK - United States
SNA,Santa Ana,CA - United States
SBA,Santa Barbara,CA - United States
SAF,Santa Fe,NM - United States
SMX,Santa Maria,CA - United States
STS,Santa Rosa,CA - United States
SLK,Saranac Lake,NY - United States
SRQ,Sarasota,FL - United States
CIU,Sault Ste Marie,MI - United States
SAV,Savannah,GA - United States
SVA,Savoonga,AK - United States
SCM,Scammon Bay,AK - United States
BFF,Scottsbluff,NE - United States
SDL,Scottsdale,AZ - United States
AVP,Scranton,PA - United States
LKE,Seattle,WA - United States
SEA,Seattle,WA - United States
WLK,Selawik,AK - United States
SWD,Seward,AK - United States
SHX,Shageluk,AK - United States
SKK,Shaktoolik,AK - United States
MSL,Sheffield/Florence/Muscle Shoals,AL - United States
SXP,Sheldon Point,AK - United States
SHR,Sheridan,WY - United States
SHH,Shishmaref,AK - United States
SHV,Shreveport,LA - United States
SHG,Shungnak,AK - United States
SVC,Silver City,NM - United States
SUX,Sioux City,IA - United States
FSD,Sioux Falls,SD - United States
SIT,Sitka,AK - United States
SGY,Skagway,AK - United States
SLQ,Sleetmore,AK - United States
SBN,South Bend,IN - United States
WSN,South Naknek,AK - United States
SOP,Southern Pines,NC - United States
GSP,Spartanburg/Greenville,SC - United States
GEG,Spokane,WA - United States
SPI,Springfield,IL - United States
SGF,Springfield,MO - United States
PIE,St Petersburg/Clearwater,FL - United States
SCE,State College/University Park,PA - United States
SHD,Staunton,VA - United States
SBS,Steamboat Springs,CO - United States
WBB,Stebbins,AK - United States
CWA,Stevens Point/Wausau,WI - United States
SVS,Stevens Village,AK - United States
SWF,Stewart Field/Newburgh,NY - United States
SCK,Stockton,CA - United States
SRV,Stony River,AK - United States
SUN,Sun Valley,ID - United States
SYR,Syracuse,NY - United States
TCT,Takotna,AK - United States
TKA,Talkeetna,AK - United States
TLH,Tallahassee,FL - United States
TPA,Tampa,FL - United States
TAL,Tanana,AK - United States
TSM,Taos,NM - United States
TEK,Tatitlek,AK - United States
KTS,Teller Mission,AK - United States
TEX,Telluride,CO - United States
TKE,Tenakee Springs,AK - United States
HUF,Terre Haute,IN - United States
TEH,Tetlin,AK - United States
TXK,Texarkana,AR - United States
TVF,Thief River Falls,MN - United States
KTB,Thorne Bay,AK - United States
TNC,Tin City,AK - United States
TOG,Togiak Village,AK - United States
TKJ,Tok,AK - United States
OOK,Toksook Bay,AK - United States
TOL,Toledo,OH - United States
FOE,Topeka,KS - United States
TVC,Traverse City,MI - United States
TTN,Trenton/Mercer,NJ - United States
TUS,Tucson,AZ - United States
TUL,Tulsa,OK - United States
TLT,Tuluksak,AK - United States
WTL,Tuntutuliak,AK - United States
TNK,Tununak,AK - United States
TUP,Tupelo,MS - United States
TCL,Tuscaloosa,AL - United States
TWF,Twin Falls,ID - United States
TWA,Twin Hills,AK - United States
TYR,Tyler,TX - United States
UNK,Unalakleet,AK - United States
CMI,Urbana/Champaign,IL - United States
UCA,Utica,NY - United States
UTO,Utopia Creek,AK - United States
EGE,Vail,CO - United States
QBF,Vail,CO - United States
VDZ,Valdez,AK - United States
VLD,Valdosta,GA - United States
VPS,Valparaiso,FL - United States
VEE,Venetie,AK - United States
OXR,Ventura/Oxnard,CA - United States
VEL,Vernal,UT - United States
VCT,Victoria,TX - United States
VIS,Visalia,CA - United States
ACT,Waco,TX - United States
AIN,Wainwright,AK - United States
WAA,Wales,AK - United States
ALW,Walla Walla,WA - United States
WAS,Washington DC,DC - United States
IAD,Washington DC,DC - United States
DCA,Washington DC,DC - United States
KWF,Waterfall,AK - United States
ALO,Waterloo,IA - United States
ART,Watertown,NY - United States
ATY,Watertown,SD - United States
CWA,Wausau/Stevens Point,WI - United States
EAT,Wenatchee,WA - United States
PBI,West Palm Beach,FL - United States
WYS,West Yellowstone,MT - United States
HPN,Westchester County,NY - United States
WST,Westerly,RI - United States
WSX,Westsound,WA - United States
WWP,Whale Pass,AK - United States
WMO,White Mountain,AK - United States
LEB,White River,VT - United States
SPS,Wichita Falls,TX - United States
ICT,Wichita,KS - United States
AVP,Wilkes Barre,PA - United States
PHF,Williamsburg,VA - United States
IPT,Williamsport,PA - United States
ISN,Williston,ND - United States
ILM,Wilmington,NC - United States
BDL,Windsor Locks,CT - United States
ORH,Worcester,MA - United States
WRL,Worland,WY - United States
WRG,Wrangell,AK - United States
YKM,Yakima,WA - United States
YAK,Yakutat,AK - United States
COD,Yellowstone/Cody,WY - United States
YNG,Youngstown,OH - United States
YUM,Yuma,AZ - United States
YXX,Abbotsford,BC - United States
AKV,Akulivik,QC - Canada
XLY,Aldershot,ON - Canada
XFS,Alexandria,ON - Canada
YTF,Alma,QC - Canada
YAA,Anahim Lake,BC - Canada
YAX,Angling Lake,ON - Canada
YAB,Arctic Bay,NU - Canada
YEK,Arviat,NU - Canada
YAT,Attawapiskat,ON - Canada
YPJ,Aupaluk,QC - Canada
YBG,Bagotville,QC - Canada
YBC,Baie Comeau,QC - Canada
YBK,Baker Lake,NU - Canada
ZBF,Bathhurst,NB - Canada
XBE,Bearskin Lake,ON - Canada
ZEL,Bella Bella,BC - Canada
QBC,Bella Coola,BC - Canada
XVV,Belleville,ON - Canada
YBV,Berens River,MB - Canada
YTL,Big Trout,ON - Canada
YBI,Black Tickle,NL - Canada
YBX,Blanc Sablon,QC - Canada
YVB,Bonaventure,QC - Canada
XPN,Brampton,ON - Canada
YBR,Brandon,MB - Canada
XFV,Brantford,ON - Canada
YBT,Brochet,MB - Canada
XBR,Brockville,ON - Canada
YPZ,Burns Lake,BC - Canada
YYC,Calgary,AB - Canada
YCB,Cambridge Bay,NU - Canada
YBL,Campbell River,BC - Canada
XAZ,Campbellton,NB - Canada
YTE,Cape Dorset,NU - Canada
XAW,Capreol,ON - Canada
YRF,Cartwright,NL - Canada
XZB,Casselman,ON - Canada
YCG,Castlegar,BC - Canada
YAC,Cat Lake,ON - Canada
XCI,Chambord,QC - Canada
XDL,Chandler,QC - Canada
YLD,Chapleau,ON - Canada
YHG,Charlottetown,NL - Canada
YYG,Charlottetown,PE - Canada
